customer_id,age,gender,subscription,watch_hours,last_login_gap,region,device,monthly_fee,payment_method,videos_watched,avg_watch_time,favorite_genre,churn
AM_0,27,Female,Basic,1.69,37,Europe,Mobile,17.99,Wallet,95,0.98,Drama,0
AM_1,62,Male,Standard,11.41,19,Europe,Mobile,13.99,Debit Card,87,0.13,Horror,0
AM_2,24,Other,Basic,6.93,30,Asia,Mobile,13.99,Credit Card,20,0.41,Action,0
AM_3,69,Female,Basic,16.83,29,North America,Laptop,17.99,Wallet,18,1.37,Comedy,0
AM_4,32,Female,Premium,3.54,20,Asia,TV,17.99,Debit Card,50,1.01,Action,0
AM_5,56,Male,Premium,7.15,50,North America,Mobile,17.99,Debit Card,51,1.59,Sci-Fi,1
AM_6,58,Female,Premium,3.62,30,North America,TV,8.99,UPI,29,1.0,Action,0
AM_7,29,Male,Basic,17.63,27,Europe,Laptop,13.99,Debit Card,50,0.12,Comedy,0
AM_8,18,Other,Premium,16.48,26,Africa,Laptop,13.99,Credit Card,97,1.49,Romance,0
AM_9,36,Other,Basic,10.89,29,North America,Laptop,8.99,UPI,9,0.49,Comedy,0
AM_10,21,Male,Premium,6.92,10,North America,Laptop,8.99,UPI,13,1.68,Sci-Fi,1
AM_11,27,Male,Premium,1.54,54,Europe,Mobile,17.99,Wallet,42,1.27,Action,0
AM_12,67,Female,Standard,4.79,49,North America,Laptop,13.99,Debit Card,29,1.44,Horror,1
AM_13,53,Female,Basic,5.57,59,Asia,Mobile,17.99,Credit Card,89,0.93,Drama,0
AM_14,60,Male,Basic,5.66,30,Europe,TV,17.99,UPI,1,1.14,Sci-Fi,0
AM_15,42,Female,Standard,15.59,55,South America,Laptop,17.99,UPI,38,1.14,Comedy,0
AM_16,59,Female,Standard,8.14,44,South America,Laptop,13.99,Debit Card,108,1.45,Horror,0
AM_17,51,Other,Standard,6.93,40,Europe,Mobile,17.99,UPI,81,0.11,Sci-Fi,1
AM_18,21,Male,Premium,6.25,37,Europe,TV,17.99,Credit Card,88,0.82,Horror,0
AM_19,42,Other,Premium,13.89,7,Africa,Laptop,8.99,Credit Card,8,0.65,Comedy,1
AM_20,30,Other,Basic,9.02,23,North America,Laptop,8.99,Credit Card,105,0.72,Comedy,0
